['4026245', '2018-02-16 15:37:29', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-31.00', '868.100', '51.468000', '5.804200', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026249', '2018-02-16 15:37:39', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-31.00', '868.100', '51.468000', '5.804200', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026253', '2018-02-16 15:37:50', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-31.00', '868.100', '51.468000', '5.804200', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026306', '2018-02-16 15:40:19', '165980118', 'sodaqexpl', 'b827ebffff794e30', '', 'SF7BW125', '0.50', '-108.00', '868.300', '51.468038', '3.604301', '-0.6', '5.00', '', '', 'ios', 'iOS 11.2.5 - org.ttnmapper.ios.TTNMapper:24'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026313', '2018-02-16 15:40:32', '165980118', 'sodaqexpl', 'b827ebffff794e30', '', 'SF7BW125', '-1.75', '-111.00', '867.900', '51.468868', '3.604337', '0.4', '10.00', '', '', 'ios', 'iOS 11.2.5 - org.ttnmapper.ios.TTNMapper:24'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026487', '2018-02-16 15:45:45', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-31.00', '868.100', '51.468100', '5.804100', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026488', '2018-02-16 15:45:55', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468100', '5.804100', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026492', '2018-02-16 15:46:06', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468100', '5.804100', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026495', '2018-02-16 15:46:16', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468100', '5.804100', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026499', '2018-02-16 15:46:27', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-31.00', '868.100', '51.468100', '5.804100', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026502', '2018-02-16 15:46:37', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-31.00', '868.100', '51.468100', '5.804100', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026504', '2018-02-16 15:46:48', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '26.00', '-30.00', '868.100', '51.468100', '5.804100', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026505', '2018-02-16 15:46:58', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '33.00', '-30.00', '868.100', '51.468100', '5.804100', '93.4', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026508', '2018-02-16 15:47:09', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '28.00', '-30.00', '868.100', '51.468000', '5.804100', '63.2', '', '1.0', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026513', '2018-02-16 15:47:20', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468000', '5.804100', '63.2', '', '1.0', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026518', '2018-02-16 15:47:30', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468000', '5.804100', '63.2', '', '1.0', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026519', '2018-02-16 15:47:41', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '25.00', '-31.00', '868.100', '51.468000', '5.804100', '63.2', '', '1.0', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026526', '2018-02-16 15:47:51', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '26.00', '-30.00', '868.100', '51.468000', '5.804100', '63.2', '', '1.0', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4026618', '2018-02-16 15:53:20', 'lopy2', 'lopyclients', 'B827EBFFFF2E837B', 'LORA', 'SF7BW125', '27.00', '-30.00', '868.100', '51.468100', '5.804000', '71.5', '', '1.1', '', 'HDOP', 'ttn_http_integration_v2'],1518739200,Clear,clear-night,34.26,34.26,32.93,0.95,1019.43,2.16,4.99,
['4084735', '2018-02-19 10:05:28', 'pa3dsb_uno_1', 'pa3dsb_location', 'FFFEB827EB75534E', '', 'SF7BW125', '3.00', '-105.00', '868.500', '51.468948', '5.405404', '70.0', '2.00', '', '', 'fused', 'Android7.0 App29:2017.10.18'],1518998400,Mostly Cloudy,partly-cloudy-night,30.2,30.2,27.15,0.88,1023.24,0.82,6,
['4220707', '2018-02-25 16:01:01', 'gps_01', 'gps_nodes', 'FFFEB827EB75534E', '', 'SF7BW125', '-4.00', '-118.00', '868.100', '51.468381', '5.466997', '13.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1519516800,Clear,clear-night,29.01,22.22,15.85,0.57,1027.73,6.56,6.22,
['4223360', '2018-02-25 17:31:42', 'pa3dsb_uno_1', 'pa3dsb_location', 'FFFEB827EB75534E', '', 'SF7BW125', '0.80', '-112.00', '867.500', '51.468579', '5.404474', '65.0', '10.00', '', '', 'fused', 'Android7.0 App29:2017.10.18'],1519516800,Clear,clear-night,29.01,22.22,15.85,0.57,1027.73,6.56,6.22,
