['2115573', '2017-08-02 17:04:18', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-76.00', '868.100', '53.102059', '-6.100783', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115581', '2017-08-02 17:05:24', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102059', '-6.100783', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115594', '2017-08-02 17:06:30', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102060', '-6.100783', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115633', '2017-08-02 17:07:36', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102060', '-6.100783', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115647', '2017-08-02 17:08:42', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-77.00', '868.100', '53.102060', '-6.100784', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115693', '2017-08-02 17:13:08', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '8.00', '-83.00', '868.100', '53.102052', '-6.100794', '0.0', '19.65', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115699', '2017-08-02 17:14:16', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '7.00', '-98.00', '868.100', '53.102063', '-6.100753', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115706', '2017-08-02 17:15:23', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-76.00', '868.100', '53.102117', '-6.100835', '165.0', '11.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115893', '2017-08-02 17:34:13', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.65', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115894', '2017-08-02 17:34:13', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.65', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115908', '2017-08-02 17:35:19', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-72.00', '868.100', '53.102063', '-6.100782', '0.0', '19.56', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115909', '2017-08-02 17:35:19', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-72.00', '868.100', '53.102063', '-6.100782', '0.0', '19.56', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115921', '2017-08-02 17:36:27', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-71.00', '868.100', '53.102063', '-6.100782', '0.0', '19.54', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115922', '2017-08-02 17:36:27', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-71.00', '868.100', '53.102063', '-6.100782', '0.0', '19.54', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115956', '2017-08-02 17:37:32', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.54', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115957', '2017-08-02 17:37:32', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.54', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115965', '2017-08-02 17:38:38', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-72.00', '868.100', '53.102063', '-6.100782', '0.0', '19.64', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115966', '2017-08-02 17:38:38', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-72.00', '868.100', '53.102063', '-6.100782', '0.0', '19.64', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115975', '2017-08-02 17:39:44', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.54', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115976', '2017-08-02 17:39:44', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.54', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115984', '2017-08-02 17:40:50', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-72.00', '868.100', '53.102063', '-6.100782', '0.0', '19.64', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115985', '2017-08-02 17:40:50', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-72.00', '868.100', '53.102063', '-6.100782', '0.0', '19.64', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115989', '2017-08-02 17:41:56', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.66', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115990', '2017-08-02 17:41:56', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.66', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115998', '2017-08-02 17:43:03', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-72.00', '868.100', '53.102063', '-6.100782', '0.0', '19.40', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2115999', '2017-08-02 17:43:03', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-72.00', '868.100', '53.102063', '-6.100782', '0.0', '19.40', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2116004', '2017-08-02 17:44:10', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.36', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2116005', '2017-08-02 17:44:10', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.36', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2116010', '2017-08-02 17:45:16', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-72.00', '868.100', '53.102063', '-6.100782', '0.0', '19.54', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2116011', '2017-08-02 17:45:16', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-72.00', '868.100', '53.102063', '-6.100782', '0.0', '19.54', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2116018', '2017-08-02 17:46:22', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.66', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2116019', '2017-08-02 17:46:22', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '10.00', '-73.00', '868.100', '53.102063', '-6.100782', '0.0', '19.66', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2116058', '2017-08-02 17:47:28', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102060', '-6.100785', '0.0', '20.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2116060', '2017-08-02 17:47:28', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102060', '-6.100785', '0.0', '20.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
['2116069', '2017-08-02 17:48:34', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF7BW125', '9.00', '-73.00', '868.100', '53.102063', '-6.100783', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1501632000,Mostly Cloudy,partly-cloudy-night,55.5,55.5,50.22,0.82,1010.06,2.75,6.22,
