['2757684', '2017-09-28 15:06:18', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.75', '-40.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757685', '2017-09-28 15:06:18', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-45.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757757', '2017-09-28 15:08:31', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.50', '-39.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757758', '2017-09-28 15:08:31', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-45.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757853', '2017-09-28 15:10:43', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.00', '-40.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757854', '2017-09-28 15:10:43', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '8.00', '-43.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757923', '2017-09-28 15:12:55', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-45.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757924', '2017-09-28 15:12:55', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '8.50', '-39.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757990', '2017-09-28 15:15:08', 'node1', 'firstsinglenode', 'gk_gateway_1', '', 'SF12BW125', '9.25', '-40.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
['2757991', '2017-09-28 15:15:08', 'node1', 'firstsinglenode', '5CCF7FFFFF2BB020', '', 'SF12BW125', '9.00', '-43.00', '868.100', '53.102088', '-6.100796', '0.0', '10.00', '', '', 'fused', 'Android5.0.1 App28:2017.06.13'],1506556800,Partly Cloudy,partly-cloudy-night,53.8,53.8,51.73,0.93,1013.1,6.4,6.22,
