['283963', '2016-06-05 08:23:11', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '8.00', '-75.00', '868.100', '52.184193', '5.943780', '17.9', '3.10', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284073', '2016-06-05 10:17:40', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-76.00', '868.100', '52.184700', '5.943307', '12.9', '3.10', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284074', '2016-06-05 10:17:59', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-52.00', '868.100', '52.184345', '5.943748', '10.9', '3.50', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284101', '2016-06-05 12:54:02', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-64.00', '868.100', '52.184240', '5.944057', '52.7', '5.00', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284102', '2016-06-05 12:54:11', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-63.00', '868.100', '52.184255', '5.944043', '52.7', '4.40', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284103', '2016-06-05 12:54:21', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-55.00', '868.100', '52.184207', '5.944080', '52.7', '4.30', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284104', '2016-06-05 12:54:31', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-56.00', '868.100', '52.184203', '5.944060', '52.7', '4.00', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284105', '2016-06-05 12:54:40', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-74.00', '868.100', '52.184225', '5.943962', '52.6', '3.90', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284106', '2016-06-05 12:54:50', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-79.00', '868.100', '52.184227', '5.943892', '52.6', '3.70', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284107', '2016-06-05 12:54:59', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '6.00', '-89.00', '868.100', '52.184475', '5.943633', '52.5', '3.30', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284332', '2016-06-05 17:20:34', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-75.00', '868.100', '52.184317', '5.943795', '14.1', '3.30', '', '', 'gps', ''],1465084800,Overcast,cloudy,65.97,65.97,58.48,0.77,1015.89,2.78,6.22,
['284637', '2016-06-06 15:23:49', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-83.00', '868.100', '52.184720', '5.943433', '20.3', '2.70', '', '', 'gps', ''],1465171200,Clear,clear-night,56.68,56.68,52.04,0.84,1020.68,2.28,6.22,
['284638', '2016-06-06 15:23:58', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-61.00', '868.100', '52.184137', '5.943817', '17.8', '2.90', '', '', 'gps', ''],1465171200,Clear,clear-night,56.68,56.68,52.04,0.84,1020.68,2.28,6.22,
['284639', '2016-06-06 15:24:08', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-62.00', '868.100', '52.184158', '5.943885', '17.5', '3.10', '', '', 'gps', ''],1465171200,Clear,clear-night,56.68,56.68,52.04,0.84,1020.68,2.28,6.22,
['284640', '2016-06-06 15:24:17', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-67.00', '868.100', '52.184232', '5.943808', '17.1', '2.90', '', '', 'gps', ''],1465171200,Clear,clear-night,56.68,56.68,52.04,0.84,1020.68,2.28,6.22,
['284642', '2016-06-06 21:28:24', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '10.00', '-67.00', '868.100', '52.184495', '5.944432', '32.3', '50.70', '', '', 'gps', ''],1465171200,Clear,clear-night,56.68,56.68,52.04,0.84,1020.68,2.28,6.22,
['284643', '2016-06-06 21:28:34', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-68.00', '868.100', '52.184495', '5.944432', '27.7', '50.70', '', '', 'gps', ''],1465171200,Clear,clear-night,56.68,56.68,52.04,0.84,1020.68,2.28,6.22,
['284646', '2016-06-07 12:35:36', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-52.00', '868.100', '52.184330', '5.943763', '52.9', '30.00', '', '', 'gps', ''],1465257600,Clear,clear-night,61.77,61.77,55.05,0.79,1021.65,2.15,6.22,
['284647', '2016-06-07 12:35:45', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-76.00', '868.100', '52.184330', '5.943763', '23.3', '30.00', '', '', 'gps', ''],1465257600,Clear,clear-night,61.77,61.77,55.05,0.79,1021.65,2.15,6.22,
['284648', '2016-06-07 12:35:55', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '9.00', '-73.00', '868.100', '52.184253', '5.943753', '26.3', '4.00', '', '', 'gps', ''],1465257600,Clear,clear-night,61.77,61.77,55.05,0.79,1021.65,2.15,6.22,
['284744', '2016-06-07 13:32:46', '0000000002E00612', '70B3D57ED00001CE', 'B827EBFFFF99F2E2', '', 'SF7BW125', '-2.00', '-108.00', '868.100', '52.184418', '5.947752', '11.6', '3.60', '', '', 'gps', ''],1465257600,Clear,clear-night,61.77,61.77,55.05,0.79,1021.65,2.15,6.22,
