['4236632', '2018-02-26 16:37:02', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '7.80', '-85.00', '868.500', '51.918000', '4.243000', '2.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236664', '2018-02-26 16:39:02', 'skylab_tracker_0001', 'skylab_main', '0000024B080E0021', '', 'SF9BW125', '-3.50', '-119.00', '868.100', '51.918600', '4.241700', '-1.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4236665', '2018-02-26 16:39:02', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '6.80', '-100.00', '868.100', '51.918600', '4.241700', '-1.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237032', '2018-02-26 17:02:02', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '0.50', '-117.00', '868.300', '51.918400', '4.245000', '8.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237033', '2018-02-26 17:02:02', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '12.20', '-67.00', '868.300', '51.918400', '4.245000', '8.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237037', '2018-02-26 17:03:01', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '12.50', '-64.00', '868.100', '51.918400', '4.245100', '21.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237038', '2018-02-26 17:03:01', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '3.20', '-121.00', '868.100', '51.918400', '4.245100', '21.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237039', '2018-02-26 17:03:06', 'skylab_tracker_0001', 'skylab_main', '0000024B080E0021', '', 'SF9BW125', '-8.00', '-115.00', '868.500', '51.918400', '4.245100', '18.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237042', '2018-02-26 17:04:02', 'skylab_tracker_0001', 'skylab_main', 'FCC23DFFFE0F508E', '', 'SF9BW125', '11.50', '-63.00', '868.300', '51.918500', '4.244800', '-16.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
['4237043', '2018-02-26 17:04:02', 'skylab_tracker_0001', 'skylab_main', '7276FF00390301F1', '', 'SF9BW125', '5.80', '-113.00', '868.300', '51.918500', '4.244800', '-16.0', '', '', '', 'preparsed_json', 'mqtt import v2'],1519603200,Mostly Cloudy,partly-cloudy-night,25.74,16.7,20.67,0.81,1031.32,8.8,6.21,
