4942742,2018-03-22 16:39:27,skylab_tv021,skylab_ttn,FCC23DFFFE0F508E,,SF12BW125,9.50,-61.00,868.300,51.918458,4.244574,12.2,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942746,2018-03-22 16:39:39,skylab_tv021,skylab_ttn,FCC23DFFFE0F508E,,SF12BW125,7.50,-47.00,868.500,51.918458,4.244574,10.4,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942750,2018-03-22 16:39:44,skylab_tv021,skylab_ttn,B827EBFFFEAA660C,,SF12BW125,-17.80,-123.00,868.100,51.918458,4.244574,12.2,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942751,2018-03-22 16:39:44,skylab_tv021,skylab_ttn,7276FF00390301F1,,SF12BW125,-10.50,-122.00,868.100,51.918458,4.244574,12.2,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942752,2018-03-22 16:39:44,skylab_tv021,skylab_ttn,0000024B080309D3,,SF12BW125,-8.20,-117.00,868.100,51.918458,4.244574,12.2,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942753,2018-03-22 16:39:44,skylab_tv021,skylab_ttn,FCC23DFFFE0F770A,,SF12BW125,-13.00,-111.00,868.100,51.918458,4.244574,12.2,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942754,2018-03-22 16:39:44,skylab_tv021,skylab_ttn,FCC23DFFFE0F508E,,SF12BW125,9.80,-62.00,868.100,51.918458,4.244574,12.2,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942762,2018-03-22 16:39:48,skylab_tv021,skylab_ttn,0000024B080309D3,,SF12BW125,-10.80,-109.00,868.300,51.918458,4.244574,12.3,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942763,2018-03-22 16:39:48,skylab_tv021,skylab_ttn,7276FF00390301F1,,SF12BW125,-4.50,-119.00,868.300,51.918458,4.244574,12.3,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942766,2018-03-22 16:39:48,skylab_tv021,skylab_ttn,FCC23DFFFE0F508E,,SF12BW125,8.00,-57.00,868.300,51.918458,4.244574,12.3,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942776,2018-03-22 16:40:03,skylab_tv021,skylab_ttn,FCC23DFFFE0F508E,,SF12BW125,10.50,-64.00,868.100,51.918482,4.244668,9.1,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942779,2018-03-22 16:40:08,skylab_tv021,skylab_ttn,FCC23DFFFE0F770A,,SF12BW125,-15.50,-111.00,868.100,51.918482,4.244668,9.8,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942784,2018-03-22 16:40:08,skylab_tv021,skylab_ttn,0000024B080309D3,,SF12BW125,-10.20,-115.00,868.100,51.918482,4.244668,9.8,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942785,2018-03-22 16:40:08,skylab_tv021,skylab_ttn,FCC23DFFFE0F508E,,SF12BW125,9.20,-63.00,868.100,51.918482,4.244668,9.8,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942786,2018-03-22 16:40:08,skylab_tv021,skylab_ttn,7276FF00390301F1,,SF12BW125,-10.20,-122.00,868.100,51.918482,4.244668,9.8,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942791,2018-03-22 16:40:13,skylab_tv021,skylab_ttn,FCC23DFFFE0F770A,,SF12BW125,-17.50,-109.00,868.300,51.918482,4.244668,9.1,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942792,2018-03-22 16:40:13,skylab_tv021,skylab_ttn,7276FF00390301F1,,SF12BW125,-8.00,-121.00,868.300,51.918482,4.244668,9.1,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
4942796,2018-03-22 16:40:13,skylab_tv021,skylab_ttn,FCC23DFFFE0F508E,,SF12BW125,7.20,-55.00,868.300,51.918482,4.244668,9.1,10.00,,,ios,iOS 11.2.6 - org.ttnmapper.ios.TTNMapper:24
