['1443417', '2017-04-28 13:43:03', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.00', '-111.00', '868.500', '46.455718', '15.665314', '276.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443426', '2017-04-28 13:45:11', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-8.00', '-109.00', '868.300', '46.455718', '15.665314', '276.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443757', '2017-04-28 15:05:08', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.00', '-110.00', '867.700', '46.455718', '15.665314', '269.0', '1.00', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443758', '2017-04-28 15:06:02', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-5.50', '-112.00', '868.300', '46.455718', '15.665314', '269.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443759', '2017-04-28 15:06:20', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-4.00', '-112.00', '868.500', '46.455718', '15.665314', '269.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443761', '2017-04-28 15:07:49', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-6.20', '-113.00', '867.900', '46.455718', '15.665314', '269.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443763', '2017-04-28 15:10:49', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-5.00', '-110.00', '868.300', '46.455718', '15.665314', '269.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443808', '2017-04-28 15:22:11', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-7.00', '-112.00', '867.700', '46.455718', '15.665314', '270.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443811', '2017-04-28 15:23:07', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-5.80', '-111.00', '868.300', '46.455718', '15.665314', '270.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443812', '2017-04-28 15:23:26', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-5.00', '-112.00', '868.500', '46.455718', '15.665314', '270.0', '0.90', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
['1443815', '2017-04-28 15:24:59', 'mb-mapper-1', 'maribor-mapper', 'FFFEB827EB6CF384', '', 'SF7BW125', '-9.00', '-111.00', '867.900', '46.455718', '15.665314', '270.0', '0.80', '', '', 'joris_binary', 'mqtt import v2'],1493337600,Overcast,cloudy,46.19,46.19,43.88,0.92,1014.83,1.84,2.92,
